date,action,bucket,symbol,shares,price,value,cost,cash_after
2018-02-01,BUY,AI_US_Sectors_Basic,XLY,217,98.87435913085938,21455.735931396484,32.18360389709473,1037.7798253360088
2018-02-01,SELL,AI_Global_Developed,EWU,771,27.725955963134766,21376.712047576904,32.06506807136536,22382.426804841547
2018-02-01,BUY,AI_Global_Developed,EWJ,387,55.4152946472168,21445.7190284729,32.168578542709355,904.5391978259358
2018-02-01,SELL,AI_Emerging_Markets,EEM,512,42.52371597290039,21772.142578125,32.6582138671875,22644.02356208375
2018-02-01,BUY,AI_Emerging_Markets,FXI,493,43.40523910522461,21398.782878875732,32.098174318313596,1213.1425088897013
2018-03-01,SELL,AI_US_Sectors_Basic,XLY,217,95.47991180419922,20719.14086151123,31.078711292266846,21901.204659108666
2018-03-01,BUY,AI_US_Sectors_Basic,XLK,329,62.03929901123047,20410.929374694824,30.616394062042236,1459.6588903517986
2018-05-01,SELL,AI_US_Sectors_Basic,XLK,329,61.52787780761719,20242.671798706055,30.364007698059083,21671.966681359794
2018-05-01,BUY,AI_US_Sectors_Basic,XLY,208,96.58887481689453,20090.485961914062,30.135728942871093,1551.344990502861
2018-05-01,SELL,AI_Emerging_Markets,FXI,493,39.1993293762207,19325.269382476807,28.987904073715214,20847.626468905954
2018-05-01,BUY,AI_Emerging_Markets,EWZ,745,26.914308547973633,20051.159868240356,30.076739802360535,766.3898608632371
2018-06-01,SELL,AI_US_Sectors_Basic,XLY,208,99.10032653808594,20612.867919921875,30.919301879882813,21348.33847890523
2018-06-01,BUY,AI_US_Sectors_Basic,XLE,363,54.74504470825195,19872.45122909546,29.80867684364319,1446.0785729661256
2018-06-01,SELL,AI_Global_Developed,EWJ,387,52.69929504394531,20394.627182006836,30.591940773010254,21810.11381419995
2018-06-01,BUY,AI_Global_Developed,EWU,734,27.061904907226562,19863.438201904297,29.795157302856445,1916.880454992799
2018-06-01,SELL,AI_Emerging_Markets,EWZ,745,23.07400894165039,17190.13666152954,25.785204992294315,19081.231911530045
2018-06-01,BUY,AI_Emerging_Markets,EWY,306,64.82231903076172,19835.629623413086,29.753444435119633,-784.1511563181593
2018-06-01,SELL,AI_Real_Assets,XME,611,34.1666259765625,20875.808471679688,31.313712707519528,20060.343602654008
2018-06-01,BUY,AI_Real_Assets,VNQ,334,59.39485549926758,19837.88173675537,29.756822605133056,192.70504329350297
2018-07-02,SELL,AI_Global_Developed,EWU,734,26.25027084350586,19267.6987991333,28.901548198699956,19431.502294228103
2018-07-02,BUY,AI_Global_Developed,EWC,794,24.293561935424805,19289.088176727295,28.933632265090942,113.4804852357156
2018-07-02,SELL,AI_Emerging_Markets,EWY,306,58.42654037475586,17878.521354675293,26.81778203201294,17965.184057878996
2018-07-02,BUY,AI_Emerging_Markets,EWT,819,23.529661178588867,19270.792505264282,28.906188757896423,-1334.5146361431835
2018-08-01,SELL,AI_US_Sectors_Basic,XLE,363,54.876712799072266,19920.246746063232,29.88037011909485,18555.851739800954
2018-08-01,BUY,AI_US_Sectors_Basic,XLY,192,103.25894165039062,19825.716796875,29.7385751953125,-1299.603632269358
